바코드,이름,판매가격,파싱문자열,회사코드,품목코드,정규화바코드,표준코드후보,대표코드후보,업체코드,검증번호,상태
0108806418062638,아이톡 0.5ml x 30관,"7,000",6418062638,6418,06263,8806418062638 ,8806418062638 ,641806263,6418,8,OK
0108806418067510,[광동] 벤포파워Z 100ml,"2,000",6418067510,6418,06751,8806418067510 ,8806418067510 ,641806751,6418,0,OK
0108806418072811,아이톡쿨 점안액 쿨 14ml,"3,500",6418072811,6418,07281,8806418072811 ,8806418072811 ,641807281,6418,1,OK
0108806418072828,아이톡쿨 점안액 순 14ml,"3,500",6418072828,6418,07282,8806418072828 ,8806418072828 ,641807282,6418,8,OK
0108806418072835,아이톡쿨 점안액 라이트 14ml,"3,500",6418072835,6418,07283,8806418072835 ,8806418072835 ,641807283,6418,5,OK
0108806419000431,겔포스엠현탁액 20g 4포,"4,000",6419000431,6419,00043,8806419000431 ,8806419000431 ,641900043,6419,1,OK
0108806419000479,겔포스엠 20g x 6P,"5,000",6419000479,6419,00047,8806419000479 ,8806419000479 ,641900047,6419,9,OK
0108806419031633,용각산쿨 복숭아향 18P,"6,000",6419031633,6419,03163,8806419031633 ,8806419031633 ,641903163,6419,3,OK
0108806419031640,용각산쿨 민트향 18P,"6,000",6419031640,6419,03164,8806419031640 ,8806419031640 ,641903164,6419,0,OK
0108806419031671,용각산쿨 민트커피향 18P,"6,000",6419031671,6419,03167,8806419031671 ,8806419031671 ,641903167,6419,1,OK
0108806419031688,용각산쿨 블루베리향 18P,"6,000",6419031688,6419,03168,8806419031688 ,8806419031688 ,641903168,6419,8,OK
0108806419031725,용각산쿨 민트커피향 10P,"4,500",6419031725,6419,03172,8806419031725 ,8806419031725 ,641903172,6419,5,OK
0108806419031732,용각산쿨 블루베리향 10P,"4,500",6419031732,6419,03173,8806419031732 ,8806419031732 ,641903173,6419,2,OK
0108806419044039,맨담 케토쿨 5매,"2,500",6419044039,6419,04403,8806419044039 ,8806419044039 ,641904403,6419,9,OK
0108806419065928,맨담 듀오임팩 7매,"2,000",6419065928,6419,06592,8806419065928 ,8806419065928 ,641906592,6419,8,OK
0108806419066826,겔포스엘현탁액 20g 4포,"4,500",6419066826,6419,06682,8806419066826 ,8806419066826 ,641906682,6419,6,OK
0108806419066833,겔포스엘 20g x 6P,"5,000",6419066833,6419,06683,8806419066833 ,8806419066833 ,641906683,6419,3,OK
0108806420004015,버물리 에스액(신) 50ml,"3,000",6420004015,6420,00401,8806420004015 ,8806420004015 ,642000401,6420,5,OK
0108806420004022,버물리 에스액(솔타입) 50ml,"4,000",6420004022,6420,00402,8806420004022 ,8806420004022 ,642000402,6420,2,OK
0108806420005913,솔루펜 10C,"2,500",6420005913,6420,00591,8806420005913 ,8806420005913 ,642000591,6420,3,OK
0108806420042710,솔루록센연질캡슐,"2,500",6420042710,6420,04271,8806420042710 ,8806420042710 ,642004271,6420,0,OK
0108806420045216,시노타딘 10C,"2,000",6420045216,6420,04521,8806420045216 ,8806420045216 ,642004521,6420,6,OK
0108806421062410,[유한] 메가비타 100ml,"2,000",6421062410,6421,06241,8806421062410 ,8806421062410 ,642106241,6421,0,OK
