바코드,이름,판매가격,파싱문자열,회사코드,품목코드,정규화바코드,표준코드후보,대표코드후보,업체코드,검증번호,상태
1.88064E+13,리보테인 100T x 2ea,"30,000",,,00196,8806446001965 ,8806446001965 ,644600196,6446,5,OK
1.88064E+13,비티엘라 120C(60C x 2EA),"35,000",,,00491,8806446004911 ,8806446004911 ,644600491,6446,1,OK
1.88064E+13,에바치온 90포,"65,000",,,00775,8806446007752 ,8806446007752 ,644600775,6446,2,OK
1.88064E+13,폴시드 120T(60C x 2EA),"15,000",,,01436,8806446014361 ,8806446014361 ,644601436,6446,1,OK
1.88064E+13,훼마틴 60C,"55,000",,,01571,8806446015719 ,8806446015719 ,644601571,6446,9,OK
1.88064E+13,마그스 더블액션 120C (60C x 2ea),"40,000",,,04481,8806446044818 ,8806446044818 ,644604481,6446,8,OK
1.88064E+13,도미나크림(히드로퀴논4%) 60g,"205,000",,,00311,8806448003110 ,8806448003110 ,644800311,6448,0,OK
1.88064E+13,볼두민 270C(90C x 3EA),"70,000",,,12312,8806449123121 ,8806449123121 ,644912312,6449,1,OK
1.88065E+13,한솔 연통환(강활유풍탕) 90P,"80,000",,,00284,8806458002844 ,8806458002844 ,645800284,6458,4,OK
1.88065E+13,옥미인단 120P,"70,000",,,00293,8806458002936 ,8806458002936 ,645800293,6458,6,OK
1.88065E+13,[한솔] 장편환 90P (45P x 2ea),"30,000",,,00332,8806458003322 ,8806458003322 ,645800332,6458,2,OK
1.88065E+13,한솔 치위환 60포,"40,000",,,00393,8806458003936 ,8806458003936 ,645800393,6458,6,OK
1.88065E+13,한솔 근골환(양혈장근건보환) 120포,"45,000",,,01442,8806458014427 ,8806458014427 ,645801442,6458,7,OK
1.88065E+13,비타메드레모나산 10포,"2,500",,,03732,8806476037323 ,8806476037323 ,647603732,6476,3,OK
1.88065E+13,외유내간 120C,"40,000",,,03431,8806478034313 ,8806478034313 ,647803431,6478,3,OK
1.88065E+13,리멘시아 180C,"35,000",,,04971,8806478049713 ,8806478049713 ,647804971,6478,3,OK
1.88065E+13,퍼슨 관장약 30mg 50개(박스),"20,000",,,00042,8806483000426 ,8806483000426 ,648300042,6483,6,OK
1.88065E+13,뮤테란 20포,"6,000",,,00237,8806516002376 ,8806516002376 ,651600237,6516,6,OK
1.88065E+13,메가콘드로업 800정 60T,"40,000",,,06131,8806534061314 ,8806534061314 ,653406131,6534,4,OK
1.88066E+13,퍼슨 관장약 30mg 50개(박스),"20,000",,,00132,8806574001325 ,8806574001325 ,657400132,6574,5,OK
1.88066E+13,이모나캡슐 240C,"40,000",,,00885,8806575008859 ,8806575008859 ,657500885,6575,9,OK
1.88066E+13,아시원 360T(180T x 2EA),"80,000",,,01141,8806581011416 ,8806581011416 ,658101141,6581,6,OK
1.88066E+13,비맥스골드 120T,"35,000",,,05681,8806581056813 ,8806581056813 ,658105681,6581,3,OK
1.88066E+13,비맥스액티브정 120T,"35,000",,,05891,8806581058916 ,8806581058916 ,658105891,6581,6,OK
1.88066E+13,비맥스메타 120T,"39,000",,,06311,8806581063118 ,8806581063118 ,658106311,6581,8,OK
1.88066E+13,투엑스비 듀얼 120T,"38,000",,,07971,8806581079713 ,8806581079713 ,658107971,6581,3,OK
1.88066E+13,비맥스메타비 120T,"44,000",,,08201,8806581082010 ,8806581082010 ,658108201,6581,0,OK
1.88066E+13,액트에버 90T,"40,000",,,08211,8806581082119 ,8806581082119 ,658108211,6581,9,OK
1.88066E+13,라라포텐 30p(6p x 5EA),"45,000",,,08382,8806581083826 ,8806581083826 ,658108382,6581,6,OK
1.88066E+13,키드칼 플러스 240T(120T x 2EA),"40,000",,,08411,8806581084113 ,8806581084113 ,658108411,6581,3,OK
1.88066E+13,비맥스제트 100T,"52,000",,,08444,8806581084441 ,8806581084441 ,658108444,6581,1,OK
1.88066E+13,비맥스에버프리미엄 120T,"42,000",,,08511,8806581085110 ,8806581085110 ,658108511,6581,0,OK
1.88066E+13,리버타인 20ml x 30V,"46,000",,,02911,8806582029113 ,8806582029113 ,658202911,6582,3,OK
1.88066E+13,[익수] 용표 우황청심원 10환,"120,000",,,00241,8806585002410 ,8806585002410 ,658500241,6585,0,OK
1.88066E+13,[익수] 용표 우황청심원(엘무스콘) 10환,"80,000",,,00251,8806585002519 ,8806585002519 ,658500251,6585,9,OK
1.88066E+13,가쁘레엑스과립(인삼패독산)스틱{5P*40},"120,000",,,00010,8806613000104 ,8806613000104 ,661300010,6613,4,OK
1.88066E+13,건양탕(반하후박탕엑스과립)스틱{5P*40},"120,000",,,00060,8806613000609 ,8806613000609 ,661300060,6613,9,OK
1.88066E+13,경방 갈근탕액 75ml x 10포,"9,000",,,00131,8806613001316 ,8806613001316 ,661300131,6613,6,OK
1.88066E+13,경방 쌍화탕액 75ml x 10포,"9,000",,,01321,8806613013210 ,8806613013210 ,661301321,6613,0,OK
1.88066E+13,향성파적환스틱 (5P*40),"120,000",,,02034,8806613020348 ,8806613020348 ,661302034,6613,8,OK
1.88066E+13,경혈환(계지복령환) 30P(10P x 3EA),"16,000",,,02200,8806613022007 ,8806613022007 ,661302200,6613,7,OK
1.88066E+13,브르럭엑스과립(청폐탕)스틱 {5P*40},"120,000",,,02460,8806613024605 ,8806613024605 ,661302460,6613,5,OK
1.88066E+13,소폐탕엑스과립(소청룡탕)스틱 {5P*40},"100,000",,,02610,8806613026104 ,8806613026104 ,661302610,6613,4,OK
1.88066E+13,스토마큐(반하사심탕엑스과립)스틱 (5P*40),"120,000",,,02659,8806613026593 ,8806613026593 ,661302659,6613,3,OK
1.88066E+13,용패탕(용담사간탕엑스과립)스틱{5P*40},"120,000",,,02940,8806613029402 ,8806613029402 ,661302940,6613,2,OK
1.88066E+13,윤폐탕엑스과립(맥문동탕엑스과립) 스틱{5P*40},"120,000",,,03020,8806613030200 ,8806613030200 ,661303020,6613,0,OK
1.88066E+13,치감엑스과립(갈근탕엑스과립)스틱(5P*40),"120,000",,,03230,8806613032303 ,8806613032303 ,661303230,6613,3,OK
1880661305,패독산엑스과립스틱{5P*40},"120,000",,,,880661305 ,,,,TOO_SHORT,
1.88066E+13,센코프액(5P*10),"30,000",,,05230,8806613052301 ,8806613052301 ,661305230,6613,1,OK
1.88066E+13,소렉신연조엑스(구풍해독탕){5P*40},"120,000",,,05272,8806613052721 ,8806613052721 ,661305272,6613,1,OK
1.88066E+13,소렉신연조엑스(구풍해독탕){10P*30},"165,000",,,05273,8806613052738 ,8806613052738 ,661305273,6613,8,OK
1.88066E+13,이치원캡슐(청위산){20C*50},"150,000",,,05530,8806613055302 ,8806613055302 ,661305530,6613,2,OK
1.88066E+13,평심액(천왕보심단){10P*10},"120,000",,,06480,8806613064809 ,8806613064809 ,661306480,6613,9,OK
1.88066E+13,경방반하사심탕시럽(5P*10),"50,000",,,07260,8806613072606 ,8806613072606 ,661307260,6613,6,OK
1.88066E+13,시스틴500 180C,"50,000",,,00773,8806616007735 ,8806616007735 ,661600773,6616,5,OK
1.88066E+13,[녹십자] 헤모퀸탑 120C(60C x 2EA),"40,000",,,01751,8806616017512 ,8806616017512 ,661601751,6616,2,OK
1.88066E+13,엠지 플러스큐 120C,"35,000",,,05152,8806616051523 ,8806616051523 ,661605152,6616,3,OK
1.88067E+13,덴티몬 240C,"40,000",,,00251,8806650002512 ,8806650002512 ,665000251,6650,2,OK
1.88067E+13,마그포스 트리플 120T(60T x 2EA),"39,000",,,05151,8806703051511 ,8806703051511 ,670305151,6703,1,OK
1.88067E+13,뉴베인액 7ml x 28P,"50,000",,,07055,8806718070552 ,8806718070552 ,671807055,6718,2,OK
18809 3304 79017,파워텐 골드 100ml 1병,"2,000",,,47901,8809330479017 ,8809330479017 ,933047901,9330,7,OK
1.88094E+13,레스큐라이트 플러스액 100ml x 12P,"25,000",,,53529,8809432535291 ,8809432535291 ,943253529,9432,1,OK
2,아이톡쿨 순 점안액 14ml,"3,500",,,,,,,,NO_880,
202508001290V,OMRON 7141혈압계,"70,000",,,,,,,,NO_880,
2.50013E+13,[광동] 경옥고 60P(23.5g x 30P x 2EA),"155,000",,,,,,,,NO_880,
2.88061E+13,스토마큐정(반하사심탕) {20T*50},"200,000",,,29146,8806119291461 ,8806119291461 ,611929146,6119,1,OK
2.88063E+13,카필러스 180C,"50,000",,,00591,8806265005912 ,8806265005912 ,626500591,6265,2,OK
2.88064E+13,임팩타민 프리미엄 120T,"39,000",,,05231,8806416052314 ,8806416052314 ,641605231,6416,4,OK
2.88064E+13,임팩타민 파워에이플러스 120T,"39,000",,,06113,8806416061132 ,8806416061132 ,641606113,6416,2,OK
2.88064E+13,임팩타민 케어 120T,"39,000",,,06421,8806416064218 ,8806416064218 ,641606421,6416,8,OK
2.88064E+13,임팩타민 원스 120T,"45,000",,,07711,8806416077119 ,8806416077119 ,641607711,6416,9,OK
2.88064E+13,프로엑스피엑 20ml x 60V,"200,000",,,02501,8806417025010 ,8806417025010 ,641702501,6417,0,OK
2.88064E+13,헤모콤 15ml x 30V,"55,000",,,02661,8806417026611 ,8806417026611 ,641702661,6417,1,OK
2.88064E+13,[일양] 경옥고 60P(20g x 30P x 2EA),"99,000",,,05542,8806417055420 ,8806417055420 ,641705542,6417,0,OK
2.88064E+13,라라포션액 30V,"55,000",,,05751,8806417057516 ,8806417057516 ,641705751,6417,6,OK
2.88064E+13,위제로 알파정 270T,"50,000",,,06121,8806417061216 ,8806417061216 ,641706121,6417,6,OK
2.88064E+13,유한 비타민씨 600T,"30,000",,,01542,8806421015427 ,8806421015427 ,642101542,6421,7,OK
2.88064E+13,마그비 스피드 더블액션 30V,"60,000",,,06021,8806421060212 ,8806421060212 ,642106021,6421,2,OK
2.88064E+13,큐업액 60V,"84,000",,,01292,8806428012924 ,8806428012924 ,642801292,6428,4,OK
2.88064E+13,플라도반액 20ml x 60V,"210,000",,,04211,8806429042111 ,8806429042111 ,642904211,6429,1,OK
2.88064E+13,낙센연질캡슐 300C(10C*30EA),"2,000",,,06931,8806433069319 ,8806433069319 ,643306931,6433,9,OK
2.88064E+13,[신신] 아렉스 소형 42매,"7,000",,,02015,8806438020155 ,8806438020155 ,643802015,6438,5,OK
2.88064E+13,원케어 네일라카 5ml x 2EA,"18,000",,,03511,8806438035111 ,8806438035111 ,643803511,6438,1,OK
2.88065E+13,사라펜 중형 40매,"8,000",,,04121,8806534041214 ,8806534041214 ,653404121,6534,4,OK
2.88066E+13,[한풍] 경옥고 60P(23g x 30P x 2EA),"99,000",,,06322,8806581063221 ,8806581063221 ,658106322,6581,1,OK
28806582 029110,리버타인,"2,000",,,02911,8806582029110 ,8806582029110 ,658202911,6582,0,OK
2.88066E+13,리버타인액 20ml 60병,"90,000",,,02911,8806582029110 ,8806582029110 ,658202911,6582,0,OK
2.88066E+13,공진단 현탁액 50ml 30병,"1,200,000",,,02041,8806585020411 ,8806585020411 ,658502041,6585,1,OK
2.88066E+13,장통환(정장제)(5P*18),"54,000",,,03080,8806613030801 ,8806613030801 ,661303080,6613,1,OK
2.88066E+13,소체환스틱(5P*18),"54,000",,,03560,8806613035608 ,8806613035608 ,661303560,6613,8,OK
2922825015B0084,[광동] 파워라센액 20ml x 60V,"200,000",,,,,,,,NO_880,
3,아이톡쿨 쿨 점안액 14ml,"3,500",,,,,,,,NO_880,
3.00653E+11,옵티프리 익스프레스 355ml,"6,000",,,,,,,,NO_880,
3.10119E+11,리뉴 후레쉬용액 355ml,"5,000",,,,,,,,NO_880,
3.5643E+12,[유유]피지오머 베이비 코 흡인기,"13,000",,,,,,,,NO_880,
3.5643E+12,[유유]피지오머 베이비 코 흡인기 필터팩 20매,"8,000",,,,,,,,NO_880,
3.88064E+13,[광동] 벤포파워Z 1박스(100ml x 10EA),"20,000",,,06751,8806418067511 ,8806418067511 ,641806751,6418,1,OK
3.88064E+13,안티푸라민 더블파워 대형 30매,"12,500",,,04522,8806421045223 ,8806421045223 ,642104522,6421,3,OK
3.88064E+13,안티푸라민 더블파워 중형 28매,"8,000",,,04523,8806421045230 ,8806421045230 ,642104523,6421,0,OK
3.88064E+13,바르지오 네일라카 5.0ml x 2EA,"18,000",,,06332,8806427063320 ,8806427063320 ,642706332,6427,0,OK
3.88064E+13,속청케어액 75ML 60B(10B*6EA),600,,,08741,8806433087419 ,8806433087419 ,643308741,6433,9,OK
3.88064E+13,[신신] 인타신 40매,"8,000",,,00722,8806438007221 ,8806438007221 ,643800722,6438,1,OK
3.88066E+13,경혈환(계지복령환)스틱{30P*3},"48,000",,,02200,8806613022001 ,8806613022001 ,661302200,6613,1,OK
4.02268E+12,구트할로 발포비타민C (레몬맛) 20T,"4,500",,,,,,,,NO_880,
4.02268E+12,구트할로 멀티발포비타민 (오렌지맛) 20T,"4,500",,,,,,,,NO_880,
4.02979E+12,비타하임 비타민(오렌지),"4,500",,,,,,,,NO_880,
4.97548E+12,오므론 혈압계 HEM-7127,"90,000",,,,,,,,NO_880,
4.97548E+12,오므론 혈압계 HEM-7141T1,"70,000",,,,,,,,NO_880,
4.97548E+12,오므론 혈압계 HEM-7140T1,"75,000",,,,,,,,NO_880,
5.00016E+12,몰티져스 트뤼플 200g,"9,900",,,,,,,,NO_880,
5.00016E+12,[마즈] 트윅스 싱글 50g,"1,500",,,,,,,,NO_880,
5.00022E+12,시카케어(12 x 3cm) 1매,"25,000",,,,,,,,NO_880,
6.29262E+11,스페셜 알티지 오메가-3 180C(90C x 2EA),"70,000",,,,,,,,NO_880,
6.68597E+12,액티벳 50mg,"5,400",,,,,,,,NO_880,
6.69416E+11,라이브 피비100 120C(60C x 2EA),"60,000",,,,,,,,NO_880,
6.78957E+12,[판매기록부] 액티벳50mg (10정) [10정],"5,400",,,,,,,,NO_880,
6.88064E+13,[신신] 아렉스 대형 30매,"10,000",,,00461,8806438004610 ,8806438004610 ,643800461,6438,0,OK
6.88064E+13,기넥신에프 120mg 180C,"45,000",,,04172,8806447041729 ,8806447041729 ,644704172,6447,9,OK
6.88064E+13,기넥신에프 120mg 200T,"40,000",,,04681,8806447046816 ,8806447046816 ,644704681,6447,6,OK
6.88065E+13,호르반 1박스(30ml x 30EA),"90,000",,,03071,8806453030717 ,8806453030717 ,645303071,6453,7,OK
6.91497E+12,[마즈] 스키틀즈 사워 40g,"1,500",,,,,,,,NO_880,
6.91497E+12,[마즈] 스키틀즈 오리지널 45g,"1,500",,,,,,,,NO_880,
6.91497E+12,[마즈] 엠앤엠즈 밀크 37g,"1,500",,,,,,,,NO_880,
6.91497E+12,[마즈] 엠앤엠즈 피넛 37g,"1,500",,,,,,,,NO_880,
6.91497E+12,스니커즈 미니스 500g + 160g,"11,900",,,,,,,,NO_880,
6.91497E+12,[마즈] 엠앤엠즈 튜브토퍼 28g,"2,500",,,,,,,,NO_880,
7.26271E+12,헬스엔 프로폴리스 스프레이 30ml,"15,000",,,,,,,,NO_880,
7.35001E+12,바이오가이아 프로덱티스 베이비드롭 5ml,"25,000",,,,,,,,NO_880,
7.35001E+12,바이오가이아 프로텍티스 이지드롭 10ml,"48,000",,,,,,,,NO_880,
7.35001E+12,바이오가이아 프로텍티스(오렌지향) 60T,"39,500",,,,,,,,NO_880,
7.35001E+12,바이오가이아 프로텍티스(하츄핑/레몬향) 60T,"39,000",,,,,,,,NO_880,
7.35001E+12,바이오가이아 프로텍티스(하츄핑/오렌지향) 60T,"39,500",,,,,,,,NO_880,
7.35001E+12,바이오가이아 프로텍티스(하츄핑/딸기향) 60T,"39,000",,,,,,,,NO_880,
7.35001E+12,가스트러스 타블렛(감귤향) 30T,"40,000",,,,,,,,NO_880,
7.68455E+11,듀오덤 엑스트라 씬 10매,"20,000",,,,,,,,NO_880,
8 806436 016712,탁센나프록센 (10c),"2,000",6436016712,6436,01671,8806436016712 ,8806436016712 ,643601671,6436,2,OK
8 806436 016736,탁센나프록센 30캡,"5,200",6436016736,6436,01673,8806436016736 ,8806436016736 ,643601673,6436,6,OK
8 806436 017214,페리덱스(6g),"3,000",6436017214,6436,01721,8806436017214 ,8806436017214 ,643601721,6436,4,OK
8 806436 033115,제놀한방(5매),"2,500",6436033115,6436,03311,8806436033115 ,8806436033115 ,643603311,6436,5,OK
8 806436 036413,쿨드림(10c),"2,000",6436036413,6436,03641,8806436036413 ,8806436036413 ,643603641,6436,3,OK
8 806436 044814,알러샷(10c),"2,500",6436044814,6436,04481,8806436044814 ,8806436044814 ,643604481,6436,4,OK
8 806436 050211,디어미(21t),"6,000",6436050211,6436,05021,8806436050211 ,8806436050211 ,643605021,6436,1,OK
8 806436 051911,탁센이부프로펜400(10c),"2,000",6436051911,6436,05191,8806436051911 ,8806436051911 ,643605191,6436,1,OK
8 806436 056022,백초(10포),"5,500",6436056022,6436,05602,8806436056022 ,8806436056022 ,643605602,6436,2,OK
8 806436 058613,탁센덱시(10c),"2,500",6436058613,6436,05861,8806436058613 ,8806436058613 ,643605861,6436,3,OK
8 806436 058811,디어미순(28t),"8,000",6436058811,6436,05881,8806436058811 ,8806436058811 ,643605881,6436,1,OK
8 806436 062719,탁센레이디(10c),"2,000",6436062719,6436,06271,8806436062719 ,8806436062719 ,643606271,6436,9,OK
8 806436 062726,탁센레이디 30캡,"5,500",6436062726,6436,06272,8806436062726 ,8806436062726 ,643606272,6436,6,OK
8 806436 067219,그린노즈플러스(10c),"2,500",6436067219,6436,06721,8806436067219 ,8806436067219 ,643606721,6436,9,OK
8 806503 037619,써버쿨플라스타30매,"4,500",6503037619,6503,03761,8806503037619 ,8806503037619 ,650303761,6503,9,OK
8 807007 353670,모스케어(80ml),"8,000",7007353670,7007,35367,8807007353670 ,8807007353670 ,700735367,7007,0,OK
8.09627E+11,링티 플러스활력 117g,"16,000",,,,,,,,NO_880,
8.09709E+11,(신)내가그린빠른허브헤어칼라1호(튜브),"9,000",,,,,,,,NO_880,
8.09709E+11,(신)내가그린빠른허브헤어칼라2호(튜브),"9,000",,,,,,,,NO_880,
812441 039743,인사포르테,"50,000",,,,,,,,NO_880,
8.12441E+11,슈퍼프로바이오틱스5000프로 120C,"50,000",,,,,,,,NO_880,
8.12441E+11,인사 포르테 파워정 120T(60T x 2EA),"50,000",,,,,,,,NO_880,
8260090 010989,스페셜 알티지 오메가,"80,000",,,,,,,,NO_880,
8.40531E+11,관절연골맥스 콘드로이친 1500,"80,000",,,,,,,,NO_880,
850013 484607,디플러스오메가 180c,"40,000",,,,,,,,NO_880,
8.50013E+11,프리미엄 디플러스 오메가3 1310 180C,"35,000",,,,,,,,NO_880,
8.50013E+11,프리미엄디플러스오메가3 1310 180캡슐x2,"70,000",,,,,,,,NO_880,
8.71318E+12,옵티뮨 2mg 3.5g,"36,000",,,,,,,,NO_880,
873101,부스코판 플러스,"3,300",,,,,,,,NO_880,
8.80002E+12,이케어 클린스왑 100P,"2,800",0021300286,0021,30028,8800021300286 ,8800021300286 ,002130028,0021,6,OK
8.80004E+12,코코퓨어 코세정분말 60P,"5,000",0040100171,0040,10017,8800040100171 ,8800040100171 ,004010017,0040,1,OK
8.80005E+12,하이맘폼 액티브케어 중형(4 x 8cm) 5매,"9,500",0048007533,0048,00753,8800048007533 ,8800048007533 ,004800753,0048,3,OK
8.80005E+12,하이맘폼 액티브케어 소형(3.4 x 6cm) 6매,"9,500",0048007557,0048,00755,8800048007557 ,8800048007557 ,004800755,0048,7,OK
8.80005E+12,하이맘 폼 에이프리,"9,000",0048012858,0048,01285,8800048012858 ,8800048012858 ,004801285,0048,8,OK
8.80005E+12,하이맘폼 액티브케어 대형(7.5 x 7.5cm) 4매,"9,500",0048013060,0048,01306,8800048013060 ,8800048013060 ,004801306,0048,0,OK
8.80005E+12,하이맘밴드 뷰티스팟 48매,"9,000",0048017211,0048,01721,8800048017211 ,8800048017211 ,004801721,0048,1,OK
8.80015E+12,크린클 코세정기,"7,000",0154800080,0154,80008,8800154800080 ,8800154800080 ,015480008,0154,0,OK
8.80025E+12,프로바이오틱스 프라임 120C,"70,000",0254770016,0254,77001,8800254770016 ,8800254770016 ,025477001,0254,6,OK
8.80025E+12,[부광]쏘팔메토옥타코사놀메가프라임 120T,"80,000",0254770092,0254,77009,8800254770092 ,8800254770092 ,025477009,0254,2,OK
8.80025E+12,에스키모 알티지오메가3 프라임 120C,"80,000",0254770139,0254,77013,8800254770139 ,8800254770139 ,025477013,0254,9,OK
8.80028E+12,촉촉어린 콜라겐 비오틴 3.5g x 30P,"45,000",0280731449,0280,73144,8800280731449 ,8800280731449 ,028073144,0280,9,OK
8.8003E+12,리쥬비온 PDRN 1000 Plus 20g,"30,000",0295960001,0295,96000,8800295960001 ,8800295960001 ,029596000,0295,1,OK
8.80033E+12,프리미엄 골드 알부민 맥스 25ml*5병,"9,000",0326271090,0326,27109,8800326271090 ,8800326271090 ,032627109,0326,0,OK
8.80033E+12,덱스판톨 립크림 10g,"5,500",0326870002,0326,87000,8800326870002 ,8800326870002 ,032687000,0326,2,OK
8.80033E+12,닥터리쥬올 Retino 멜라세럼 50ml,"48,000",0330330080,0330,33008,8800330330080 ,8800330330080 ,033033008,0330,0,OK
8.80033E+12,닥터리쥬올 세라마이드 베리어 크림 90ml,"39,000",0330330103,0330,33010,8800330330103 ,8800330330103 ,033033010,0330,3,OK
8.80033E+12,닥터리쥬올 PDRN 리쥬비네이팅 크림 30ml,"45,000",0330330233,0330,33023,8800330330233 ,8800330330233 ,033033023,0330,3,OK
8.80033E+12,닥터 리쥬올 어스밴스드 PDRN 리뷰비네이팅 립 세럼 10ml,"13,000",0330330417,0330,33041,8800330330417 ,8800330330417 ,033033041,0330,7,OK
8.80052E+12,볼타겐 에멀겔 50g,"6,000",0516001629,0516,00162,8800516001629 ,8800516001629 ,051600162,0516,9,OK
8.80052E+12,오트리빈 소아용 0.05% 10ml,"10,000",0516001711,0516,00171,8800516001711 ,8800516001711 ,051600171,0516,1,OK
8.80052E+12,니코틴엘 껌 2mg 24개입,"8,500",0516001940,0516,00194,8800516001940 ,8800516001940 ,051600194,0516,0,OK
8.80052E+12,니코틴엘 TTS20 7매,"9,500",0516002022,0516,00202,8800516002022 ,8800516002022 ,051600202,0516,2,OK
8.80052E+12,니코틴엘 TTS30 7매,"11,000",0516002121,0516,00212,8800516002121 ,8800516002121 ,051600212,0516,1,OK
8.80052E+12,니코틴엘 TTS10 7매,"9,000",0516002220,0516,00222,8800516002220 ,8800516002220 ,051600222,0516,0,OK
8.80052E+12,테라플루 데이타임 6포,"7,000",0516002428,0516,00242,8800516002428 ,8800516002428 ,051600242,0516,8,OK
8.80052E+12,테라플루 데이타임 10포,"9,500",0516002435,0516,00243,8800516002435 ,8800516002435 ,051600243,0516,5,OK
8.80052E+12,테라플루 나이트타임 6포,"7,000",0516002527,0516,00252,8800516002527 ,8800516002527 ,051600252,0516,7,OK
8.80052E+12,테라플루 나이트타임 10포,"9,500",0516002534,0516,00253,8800516002534 ,8800516002534 ,051600253,0516,4,OK
8.80052E+12,오트리빈 멘톨 0.1%,"7,500",0516002619,0516,00261,8800516002619 ,8800516002619 ,051600261,0516,9,OK
8.80052E+12,오트리빈 베이비 내추럴 15ml,"8,000",0516002718,0516,00271,8800516002718 ,8800516002718 ,051600271,0516,8,OK
8.80052E+12,테라플루 콜드앤코프 데이타임 10포,"9,500",0516002824,0516,00282,8800516002824 ,8800516002824 ,051600282,0516,4,OK
8.80052E+12,테라플루 콜드앤코프 나이트타임 10포,"9,500",0516002923,0516,00292,8800516002923 ,8800516002923 ,051600292,0516,3,OK
8.80052E+12,오트리빈 에스 0.05% 10ml,"9,000",0516003012,0516,00301,8800516003012 ,8800516003012 ,051600301,0516,2,OK
8.80052E+12,애드빌 10T,"3,000",0516003715,0516,00371,8800516003715 ,8800516003715 ,051600371,0516,5,OK
8.80052E+12,애드빌 30T,"7,000",0516003722,0516,00372,8800516003722 ,8800516003722 ,051600372,0516,2,OK
8.80052E+12,아이미루 40EX 13ml,"4,500",0520000229,0520,00022,8800520000229 ,8800520000229 ,052000022,0520,9,OK
8.80052E+12,아이미루 콘택트퓨어 12ml,"4,500",0520000328,0520,00032,8800520000328 ,8800520000328 ,052000032,0520,8,OK
8.80052E+12,아이미루 40EX 골드 13ml,"5,000",0520000410,0520,00041,8800520000410 ,8800520000410 ,052000041,0520,0,OK
8.80052E+12,아이미루 40EX 마일드 13ml,"4,500",0520000519,0520,00051,8800520000519 ,8800520000519 ,052000051,0520,9,OK
8.80052E+12,아이미루 40EX 골드콘택트 13ml,"5,000",0520000618,0520,00061,8800520000618 ,8800520000618 ,052000061,0520,8,OK
8.80054E+12,제일 롱파프(24매),"10,000",0543000916,0543,00091,8800543000916 ,8800543000916 ,054300091,0543,6,OK
8.80054E+12,제일 쿨파프 5매,"2,000",0543001333,0543,00133,8800543001333 ,8800543001333 ,054300133,0543,3,OK
8.80054E+12,케펜텍 34매,"9,000",0543001739,0543,00173,8800543001739 ,8800543001739 ,054300173,0543,9,OK
8.80054E+12,제일 핫파프 5매,"2,000",0543002927,0543,00292,8800543002927 ,8800543002927 ,054300292,0543,7,OK
8.80054E+12,한방파프 수에스 6매,"3,000",0543004013,0543,00401,8800543004013 ,8800543004013 ,054300401,0543,3,OK
8.80054E+12,디쿨24(24매),"10,000",0543005027,0543,00502,8800543005027 ,8800543005027 ,054300502,0543,7,OK
8.80054E+12,케펜텍 핫 34매,"9,900",0543007595,0543,00759,8800543007595 ,8800543007595 ,054300759,0543,5,OK
8.80054E+12,트리싹 10T,"2,500",0543007816,0543,00781,8800543007816 ,8800543007816 ,054300781,0543,6,OK
8.80054E+12,케펜텍 쿨 34매,"9,000",0543008059,0543,00805,8800543008059 ,8800543008059 ,054300805,0543,9,OK
8.80055E+12,[일양] 맥쎈 10C,"1,500",0551016114,0551,01611,8800551016114 ,8800551016114 ,055101611,0551,4,OK
8.80057E+12,액티넘 이엑스플러스 120T,"28,000",0572000512,0572,00051,8800572000512 ,8800572000512 ,057200051,0572,2,OK
8.80057E+12,라미실 크림,"4,500",0572001410,0572,00141,8800572001410 ,8800572001410 ,057200141,0572,0,OK
8.80057E+12,라미실원스 4g,"16,000",0572001717,0572,00171,8800572001717 ,8800572001717 ,057200171,0572,7,OK
8.80058E+12,파인큐 이부펜시럽 20ml x 5P,"2,500",0576000648,0576,00064,8800576000648 ,8800576000648 ,057600064,0576,8,OK
8.80058E+12,파인큐 아세트펜시럽 20ml x 5P,"2,500",0576008927,0576,00892,8800576008927 ,8800576008927 ,057600892,0576,7,OK
8.80058E+12,파인큐 나프록센 현탁액 10m l x5P,"2,500",0576010128,0576,01012,8800576010128 ,8800576010128 ,057601012,0576,8,OK
8800724 000520,장엔폴,"2,000",0724000520,0724,00052,8800724000520 ,8800724000520 ,072400052,0724,0,OK
8800724 004115,알진텍,"2,000",0724004115,0724,00411,8800724004115 ,8800724004115 ,072400411,0724,5,OK
8.80072E+12,[보령] 장엔폴 10C,"2,000",0724000520,0724,00052,8800724000520 ,8800724000520 ,072400052,0724,0,OK
8.80072E+12,(경보)알진텍 10T,"2,000",0724004115,0724,00411,8800724004115 ,8800724004115 ,072400411,0724,5,OK
8.80073E+12,콘트라민정[GC녹십자],"60,000",0732001714,0732,00171,8800732001714 ,8800732001714 ,073200171,0732,4,OK
8.80073E+12,아렉스알파 10T,"2,000",0732005319,0732,00531,8800732005319 ,8800732005319 ,073200531,0732,9,OK
8.80073E+12,[일양]엔디펜알파 10T,"2,000",0732006019,0732,00601,8800732006019 ,8800732006019 ,073200601,0732,9,OK
8.80074E+12,둘코락스에스장용정 5mg 40정,"10,500",0742000601,0742,00060,8800742000601 ,8800742000601 ,074200060,0742,1,OK
8.80121E+12,비타C젤리 오렌지향 42g,"1,000",1206002247,1206,00224,8801206002247 ,8801206002247 ,120600224,1206,7,OK
