바코드,이름,판매가격,파싱문자열,회사코드,품목코드
0108806427035128,판콜에스 내복액 1박스(30ml x 5EA),"2,500",6427035128,6427,0351
0108806427039515,후시딘겔 10g,"7,000",6427039515,6427,0395
0108806427039522,후시딘겔(티트리오일) 15g,"9,000",6427039522,6427,0395
0108806427039713,후시딘 5g,"4,800",6427039713,6427,0397
0108806427039720,후시딘 10g,"6,500",6427039720,6427,0397
0108806427069826,바르지오 모두크림 30g,"7,500",6427069826,6427,0698
0108806427076725,화이투벤 멘톨 0.1% 10ml,"7,500",6427076725,6427,0767
0108806427076916,화이투벤 0.05%(어린이용) 10ml,"7,500",6427076916,6427,0769
0108806427077111,동화 알보칠 5ml,"6,000",6427077111,6427,0771
0108806428003010,덴타포스 10C,"2,000",6428003010,6428,0030
0108806429062719,세노바퀵 10C,"3,000",6429062719,6429,0627
0108806432033522,록소앤 롤온타입 50g,"10,000",6432033522,6432,0335
0108806433016241,아나프록스 10T,"1,500",6433016241,6433,0162
0108806433025014,젠빅 60c,"10,000",6433025014,6433,0250
0108806433035051,케펨 40매,"8,000",6433035051,6433,0350
0108806433052317,류파프 6매,"2,500",6433052317,6433,0523
0108806433052324,류파프핫 6매,"2,500",6433052324,6433,0523
0108806433065515,파미딘 10mg 10정,"2,000",6433065515,6433,0655
0108806433065522,파미딘 10mg 30정,"4,000",6433065522,6433,0655
0108806433087616,파미딘 플러스 10T,"2,500",6433087616,6433,0876
0108806433094218,동의고 6매,"3,000",6433094218,6433,0942
0108806435000712,히아로겔 15g,"10,000",6435000712,6435,0007
0108806435002242,눈앤 0.5ml x 30관,"8,000",6435002242,6435,0022
0108806435006110,루마 50g,"4,000",6435006110,6435,0061
0108806435009036,메디락 디에스장용캡슐 100C,"12,000",6435009036,6435,0090
0108806435010032,목시딜액 5% 30ml,"4,000",6435010032,6435,0100
0108806435010520,무조날크림 15g,"3,000",6435010520,6435,0105
0108806435011213,바이버 크림 5g,"2,000",6435011213,6435,0112
0108806435011411,복합써스펜좌약 10개입,"10,000",6435011411,6435,0114
0108806435013217,소하자임 플러스 10T,"3,000",6435013217,6435,0132
0108806435022714,제텐씨 60T,"18,000",6435022714,6435,0227
0108806435024527,케어가글 오리지널 100ml(약국용),"1,200",6435024527,6435,0245
0108806435024534,케어가글 오리지널 250ml(약국용),"3,000",6435024534,6435,0245
0108806435024541,"케어가글 오리지널 1,000ml(약국용)","10,000",6435024541,6435,0245
0108806435024565,케어가글 사과향 250ml(약국용),"4,000",6435024565,6435,0245
0108806435028815,텐텐츄정 10p,"2,000",6435028815,6435,0288
0108806435031747,파워겔(리도카인) 1g 5포,"6,000",6435031747,6435,0317
0108806435036322,아스피린100mg 100정,"7,000",6435036322,6435,0363
0108806435037435,유리아 50g,"3,000",6435037435,6435,0374
