바코드,이름,판매가격,파싱문자열,회사코드,품목코드
108806453060521 ,티어클린점안액 30점안액,"7,000",6453060521,6453,0605
108806495071332 ,앗센액 20ml/60개,"100,000",6495071332,6495,0713
108806718070555000000000000000,[사용X] 뉴베인액 7ml 28p,"45,000",6718070555000000000000000,6718,0705
12345 ,[행사가] 마이녹실폼5% 60g x 3개,"42,000",,,
124555 ,미등록상품티어클린,"3,000",,,
18800543000913 ,제일 롱파프 24매,"10,000",,,
18800543004614 ,센실라 120T,"30,000",,,
18800543005024 ,제일 디쿨24(7 x 10cm) 40매,"8,000",,,
18800543012411 ,투엑스비 추어블 240T,"40,000",,,
18800543013012 ,투엑스비 트리플 120T,"58,000",,,
18800551028817 ,오큐에이 240C(120C x 2ea),"45,000",,,
18800724005317 ,조인본 콘드로 800 60T,"50,000",,,
18800732001714 ,콘트라민 600mg 120T(60T x 2ea),"50,000",,,
18800732004623 ,콘드라맥스800 90T,"60,000",,,
18806011435638 ,박카스 젤리 50g x 10개입,"12,000",,,
18806011615450 ,박카스D 1박스(100ml x 20EA),"11,400",,,
18806052407823 ,조아엉겅퀴골드 100ml 10병,"20,000",,,
18806119291464 ,스토마큐정(반하사심탕) {10T*50},"100,000",,,
18806228008120 ,콘티600 90T,"40,000",,,
18806228012233 ,이탄돌정 240T,"40,000",,,
18806228030930 ,[일양]헤파톡시온정 90T,"45,000",,,
18806258013415 ,메코비 120T,"50,000",,,
18806265001320 ,판피린큐 1박스(20ml x 30EA),"15,000",,,
18806265002518 ,멕시롱액 75ml 1박스(10병),"8,000",,,
18806265002839 ,베나치오 1박스(20ml x 30EA),"23,000",,,
18806265014320 ,멜라토닝(히드로퀴논2%) 30g 1box,"200,000",,,
18806265019431 ,맥스 콘드로이틴 1200mg 60포,"150,000",,,
18806265020215 ,디오라인 티 600ml 30P,"35,000",,,
18806265021113 ,타치온100mg 90T,"50,000",,,
18806265021922 ,판피린 나이트 1박스(20ml x 30EA),"21,000",,,
18806265022011 ,베나치오 프로액 1박스(75ml x 10EA),"7,000",,,
18806417009815 ,[일양] 아미노피 240T,"40,000",,,
18806417013010 ,원비디 1박스(100ml x 10EA),"6,500",,,
18806417024115 ,파워아민 240C,"40,000",,,
18806417026713 ,헤모콤 플러스 120C,"40,000",,,
18806417028113 ,가네탑플러스 180C,"50,000",,,
18806417044519 ,도담도담 츄어블 240T,"30,000",,,
18806417048616 ,노루모 에프 내복액 1박스(75ml x 10EA),"6,500",,,
18806417055317 ,조인탑600 90T (45T x 2ea),"40,000",,,
18806417057717 ,황력골드 1박스(100ml x 10EA),"18,000",,,
18806417062919 ,보나링 스피드 20ml x 5P,"3,000",,,
18806417064517 ,메코엠지 프리미엄 120T,"39,000",,,
18806417065316 ,누네탑에프 240C,"40,000",,,
18806418005212 ,[광동] 쌍화탕(신형) 1박스(100ml x 10EA),"5,000",,,
18806418006516 ,[광동] 우황청심원(사향) 10환,"132,000",,,
18806418006615 ,[광동] 우황청심원(영묘향) 10환,"100,000",,,
18806418007612 ,[광동] 원탕 1박스(100ml x 10EA),"7,000",,,
18806418032225 ,페리비타캡슐 60C,"50,000",,,
18806418068118 ,[광동] 평위천 프라임액 1박스(75ml x 10EA),"7,000",,,
18806418072924 ,마이메가플러스정 130정,"40,000",,,
18806421001829 ,덴타자임 240C,"35,000",,,
18806421031512 ,에너리버 120C,"40,000",,,
18806421043614 ,마그비 120C,"28,000",,,
18806421043713 ,덴타퀵 300T,"40,000",,,
18806421043911 ,메가트루 골드 120T,"50,000",,,
18806421046530 ,[유한] 이지케어 네일라카 6ml x 2개,"19,900",,,
18806421047926 ,메가트루 포커스 120T,"40,000",,,
18806421050629 ,마그비 액티브 120T,"30,000",,,
18806421051121 ,메가트루 파워 120T,"50,000",,,
18806421052548 ,마그비 스피드 30V,"40,000",,,
18806421054245 ,삐콤씨 파워정 120T,"25,000",,,
18806421055112 ,유한 비타민씨디 240T(120T x 2EA),"20,000",,,
18806421057819 ,마그비 맥스 120C,"40,000",,,
18806421061618 ,메가트루 633 120T,"55,000",,,
18806421062011 ,마그비 이엑스 120C,"50,000",,,
18806421062219 ,카리포맨 120C,"55,000",,,
18806421062417 ,[유한] 메가비타 1박스(100ml x 10EA),"20,000",,,
18806422038718 ,메가바이 120T,"34,000",,,
18806422039623 ,[부광] 네일스타 네일라카 6ml x 2EA,"17,000",,,
18806422044917 ,레가리버350 120C,"40,000",,,
18806422046607 ,엠지멕스 플러스비 120C (60C x 2ea),"40,000",,,
18806422046911 ,비타엔 츄어블 240T(120T x 2EA),"40,000",,,
18806427000918 ,까스활명수큐 1박스(75ml x 10EA),"9,900",,,
18806427016810 ,부채표쌍화탕 1박스(100ml x 10EA),"4,500",,,
18806428008425 ,산타몬 플러스 8ml x 60V,"60,000",,,
18806428008524 ,산타몬플러스캡슐 120C,"60,000",,,
18806428009828 ,[고려제약] 에너골드 60V(10ml x 30V x 2EA),"90,000",,,
18806428011227 ,이뮤골드 10g x 60V,"70,000",,,
18806428028829 ,로이코비에스 60V(15ml x 30V x 2EA),"80,000",,,
18806428030518 ,아미푸렉스골드 240T(120T x 2EA),"50,000",,,
18806428031539 ,멀티큐텐플러스 120C(60T x 2ea),"50,000",,,
18806429000947 ,덴큐 240T(120T x 2EA),"40,000",,,
18806429039213 ,실리세프 연질캡슐 120C,"50,000",,,
18806429042114 ,플라도반액 20ml x 20V,"70,000",,,
18806429045016 ,엑세라민 비 120T,"37,000",,,
18806429053219 ,아로나민 실버 프리미엄 120T,"35,000",,,
18806429055817 ,엑세라민 엑소 120T,"47,000",,,
18806429059020 ,에너라민파워액 60V(10ml x 30V x 2EA),"130,000",,,
18806429061511 ,아로나민 이맥스 플러스 120T,"40,000",,,
18806429068718 ,엑세라민 에이 120T,"64,000",,,
18806429068817 ,푸레파센600 60T(30T x 2ea),"35,000",,,
18806429068916 ,콘센비타 프리미엄800 60T,"60,000",,,
18806432011510 ,티스롤 270T,"30,000",,,
18806432014535 ,랑스씨씨 360T(180T x 2EA),"50,000",,,
18806432029317 ,가네타인 20ml x 30병,"45,000",,,
18806432030740 ,동성 비오틴 120T,"50,000",,,
18806432034618 ,코드에이 240C,"50,000",,,
18806432035028 ,이엠지스피드 더블액션 30P,"50,000",,,
18806433025011 ,젠빅 120C(60C x 2ea),"20,000",,,
18806433050211 ,펜잘큐정(정규)(PTP) 200T(10T*20EA),"2,500",,,
18806433051911 ,액티리버 모닝 120C,"40,000",,,
18806433062719 ,인코라민 스페셜 120T(60T*2),"35,000",,,
18806433062818 ,모드코에스연질캡슐 500C(10C*50EA),"125,000",,,
18806433062917 ,모드콜에스연질캡슐 500C(10C*50EA),"2,000",,,
18806433063013 ,모드코프에스연질캡슐 500C(10C*50EA),"125,000",,,
18806433063419 ,고운자임맘 120T(60T x 2EA),"38,000",,,
18806433065512 ,파미딘정 10MG(정규)(PTP) 100T(10T*10EA),"2,000",,,
18806433065529 ,파미딘정 10MG(정규)(PTP) 300T(30T*10EA),"3,500",,,
18806433067714 ,시미도나 120T,"45,000",,,
18806433074514 ,젠빅플러스연질캡슐 120C(60C*2EA),"40,000",,,
18806433076310 ,벤포벨 120T(60T*2EA),"35,000",,,
18806433083516 ,벤포벨지 120T(60T*2EA),"40,000",,,
18806433085916 ,이튼큐 플러스 200T(100T x 2EA),"30,000",,,
18806433087415 ,속청케어 1박스(75ml x 10EA),"6,000",,,
18806433087613 ,파미딘플러스정 100T(10T*10EA),"2,500",,,
18806433089518 ,종근당 비타민씨 골드정 1000mg 200T,"12,000",,,
18806433089716 ,벤포벨에스 120T(60T*2EA),"50,000",,,
18806433089723 ,벤포벨에스 180T(90T*2EA),"70,000",,,
18806433092723 ,포텐스틱 1박스(20ml x 5P x 10EA),"75,000",,,
18806433092730 ,포텐스틱 20ml x 40p,"60,000",,,
18806433094017 ,조인트 콘드로 60T,"50,000",,,
18806433100817 ,벤포벨아이 60C,"40,000",,,
18806433100930 ,키포벨산 3G(정규) 60P(30P*2EA),"150,000",,,
18806435028812 ,텐텐츄정 1박스(10p x 20개),"40,000",,,
18806435055313 ,프리비 60T(30T x 2EA),"30,000",,,
18806435081725 ,한미치쏙 600mg 60T(30T x 2ea),"30,000",,,
18806435088526 ,마그네비 스피드 20ml x 30P,"33,000",,,
18806436056319 ,티라노골드 플러스 츄어블 240T,"40,000",,,
18806441004862 ,에스로반 티트리오일첨가 10g,"3,000",,,
18806446001965 ,리보테인 100T x 2ea,"30,000",,,
18806446004911 ,비티엘라 120C(60C x 2EA),"35,000",,,
18806446007752 ,에바치온 90포,"65,000",,,
18806446014361 ,폴시드 120T(60C x 2EA),"15,000",,,
18806446015719 ,훼마틴 60C,"55,000",,,
18806446044818 ,마그스 더블액션 120C (60C x 2ea),"40,000",,,
18806448003110 ,도미나크림(히드로퀴논4%) 60g,"205,000",,,
18806449123121 ,볼두민 270C(90C x 3EA),"70,000",,,
18806458002844 ,한솔 연통환(강활유풍탕) 90P,"80,000",,,
18806458002936 ,옥미인단 120P,"70,000",,,
18806458003322 ,[한솔] 장편환 90P (45P x 2ea),"30,000",,,
18806458003936 ,한솔 치위환 60포,"40,000",,,
18806458014427 ,한솔 근골환(양혈장근건보환) 120포,"45,000",,,
18806476037323 ,비타메드레모나산 10포,"2,500",,,
18806478034313 ,외유내간 120C,"40,000",,,
18806478049713 ,리멘시아 180C,"35,000",,,
18806483000426 ,퍼슨 관장약 30mg 50개(박스),"20,000",,,
18806516002376 ,뮤테란 20포,"6,000",,,
18806534061314 ,메가콘드로업 800정 60T,"40,000",,,
18806574001325 ,퍼슨 관장약 30mg 50개(박스),"20,000",,,
18806575008859 ,이모나캡슐 240C,"40,000",,,
18806581011416 ,아시원 360T(180T x 2EA),"80,000",,,
18806581056813 ,비맥스골드 120T,"35,000",,,
18806581058916 ,비맥스액티브정 120T,"35,000",,,
18806581063118 ,비맥스메타 120T,"39,000",,,
18806581079713 ,투엑스비 듀얼 120T,"38,000",,,
18806581082010 ,비맥스메타비 120T,"44,000",,,
18806581082119 ,액트에버 90T,"40,000",,,
18806581083826 ,라라포텐 30p(6p x 5EA),"45,000",,,
18806581084113 ,키드칼 플러스 240T(120T x 2EA),"40,000",,,
18806581084441 ,비맥스제트 100T,"52,000",,,
18806581085110 ,비맥스에버프리미엄 120T,"42,000",,,
18806582029113 ,리버타인 20ml x 30V,"46,000",,,
18806585002410 ,[익수] 용표 우황청심원 10환,"120,000",,,
18806585002519 ,[익수] 용표 우황청심원(엘무스콘) 10환,"80,000",,,
18806613000104 ,가쁘레엑스과립(인삼패독산)스틱{5P*40},"120,000",,,
18806613000609 ,건양탕(반하후박탕엑스과립)스틱{5P*40},"120,000",,,
18806613001316 ,경방 갈근탕액 75ml x 10포,"9,000",,,
18806613013210 ,경방 쌍화탕액 75ml x 10포,"9,000",,,
18806613020348 ,향성파적환스틱 (5P*40),"120,000",,,
18806613022007 ,경혈환(계지복령환) 30P(10P x 3EA),"16,000",,,
18806613024605 ,브르럭엑스과립(청폐탕)스틱 {5P*40},"120,000",,,
18806613026104 ,소폐탕엑스과립(소청룡탕)스틱 {5P*40},"100,000",,,
18806613026593 ,스토마큐(반하사심탕엑스과립)스틱 (5P*40),"120,000",,,
18806613029402 ,용패탕(용담사간탕엑스과립)스틱{5P*40},"120,000",,,
18806613030200 ,윤폐탕엑스과립(맥문동탕엑스과립) 스틱{5P*40},"120,000",,,
18806613032303 ,치감엑스과립(갈근탕엑스과립)스틱(5P*40),"120,000",,,
1880661305 ,패독산엑스과립스틱{5P*40},"120,000",,,
18806613052301 ,센코프액(5P*10),"30,000",,,
18806613052721 ,소렉신연조엑스(구풍해독탕){5P*40},"120,000",,,
18806613052738 ,소렉신연조엑스(구풍해독탕){10P*30},"165,000",,,
18806613055302 ,이치원캡슐(청위산){20C*50},"150,000",,,
18806613064809 ,평심액(천왕보심단){10P*10},"120,000",,,
18806613072606 ,경방반하사심탕시럽(5P*10),"50,000",,,
18806616007735 ,시스틴500 180C,"50,000",,,
18806616017512 ,[녹십자] 헤모퀸탑 120C(60C x 2EA),"40,000",,,
18806616051523 ,엠지 플러스큐 120C,"35,000",,,
18806650002512 ,덴티몬 240C,"40,000",,,
18806703051511 ,마그포스 트리플 120T(60T x 2EA),"39,000",,,
18806718070552 ,뉴베인액 7ml x 28P,"50,000",,,
18809 3304 79017,파워텐 골드 100ml 1병,"2,000",,,
18809432535291 ,레스큐라이트 플러스액 100ml x 12P,"25,000",,,
2 ,아이톡쿨 순 점안액 14ml,"3,500",,,
202508001290V,OMRON 7141혈압계,"70,000",,,
25001250370151 ,[광동] 경옥고 60P(23.5g x 30P x 2EA),"155,000",,,
28806119291461 ,스토마큐정(반하사심탕) {20T*50},"200,000",,,
28806265005912 ,카필러스 180C,"50,000",,,
28806416052314 ,임팩타민 프리미엄 120T,"39,000",,,
28806416061132 ,임팩타민 파워에이플러스 120T,"39,000",,,
28806416064218 ,임팩타민 케어 120T,"39,000",,,
28806416077119 ,임팩타민 원스 120T,"45,000",,,
28806417025010 ,프로엑스피엑 20ml x 60V,"200,000",,,
28806417026611 ,헤모콤 15ml x 30V,"55,000",,,
28806417055420 ,[일양] 경옥고 60P(20g x 30P x 2EA),"99,000",,,
28806417057516 ,라라포션액 30V,"55,000",,,
28806417061216 ,위제로 알파정 270T,"50,000",,,
28806421015427 ,유한 비타민씨 600T,"30,000",,,
28806421060212 ,마그비 스피드 더블액션 30V,"60,000",,,
28806428012924 ,큐업액 60V,"84,000",,,
28806429042111 ,플라도반액 20ml x 60V,"210,000",,,
28806433069319 ,낙센연질캡슐 300C(10C*30EA),"2,000",,,
28806438020155 ,[신신] 아렉스 소형 42매,"7,000",,,
28806438035111 ,원케어 네일라카 5ml x 2EA,"18,000",,,
28806534041214 ,사라펜 중형 40매,"8,000",,,
28806581063221 ,[한풍] 경옥고 60P(23g x 30P x 2EA),"99,000",,,
28806582 029110,리버타인,"2,000",,,
28806582029110 ,리버타인액 20ml 60병,"90,000",,,
28806585020411 ,공진단 현탁액 50ml 30병,"1,200,000",,,
28806613030801 ,장통환(정장제)(5P*18),"54,000",,,
28806613035608 ,소체환스틱(5P*18),"54,000",,,
2922825015B0084,[광동] 파워라센액 20ml x 60V,"200,000",,,
3 ,아이톡쿨 쿨 점안액 14ml,"3,500",,,
300653145456 ,옵티프리 익스프레스 355ml,"6,000",,,
310119034903 ,리뉴 후레쉬용액 355ml,"5,000",,,
3564300001879 ,[유유]피지오머 베이비 코 흡인기,"13,000",,,
3564300002210 ,[유유]피지오머 베이비 코 흡인기 필터팩 20매,"8,000",,,
38806418067511 ,[광동] 벤포파워Z 1박스(100ml x 10EA),"20,000",,,
38806421045223 ,안티푸라민 더블파워 대형 30매,"12,500",,,
38806421045230 ,안티푸라민 더블파워 중형 28매,"8,000",,,
38806427063320 ,바르지오 네일라카 5.0ml x 2EA,"18,000",,,
38806433087419 ,속청케어액 75ML 60B(10B*6EA),600,,,
38806438007221 ,[신신] 인타신 40매,"8,000",,,
38806613022001 ,경혈환(계지복령환)스틱{30P*3},"48,000",,,
4022679157188 ,구트할로 발포비타민C (레몬맛) 20T,"4,500",,,
4022679157195 ,구트할로 멀티발포비타민 (오렌지맛) 20T,"4,500",,,
4029787436105 ,비타하임 비타민(오렌지),"4,500",,,
4975479419966 ,오므론 혈압계 HEM-7127,"90,000",,,
4975479497049 ,오므론 혈압계 HEM-7141T1,"70,000",,,
4975479497056 ,오므론 혈압계 HEM-7140T1,"75,000",,,
5000159514194 ,몰티져스 트뤼플 200g,"9,900",,,
5000159559348 ,[마즈] 트윅스 싱글 50g,"1,500",,,
5000223490881 ,시카케어(12 x 3cm) 1매,"25,000",,,
629262002722 ,스페셜 알티지 오메가-3 180C(90C x 2EA),"70,000",,,
6685972354661 ,액티벳 50mg,"5,400",,,
669416491767 ,라이브 피비100 120C(60C x 2EA),"60,000",,,
6789572212120 ,[판매기록부] 액티벳50mg (10정) [10정],"5,400",,,
68806438004610 ,[신신] 아렉스 대형 30매,"10,000",,,
68806447041729 ,기넥신에프 120mg 180C,"45,000",,,
68806447046816 ,기넥신에프 120mg 200T,"40,000",,,
68806453030717 ,호르반 1박스(30ml x 30EA),"90,000",,,
6914973111660 ,[마즈] 스키틀즈 사워 40g,"1,500",,,
6914973603035 ,[마즈] 스키틀즈 오리지널 45g,"1,500",,,
6914973603189 ,[마즈] 엠앤엠즈 밀크 37g,"1,500",,,
6914973603202 ,[마즈] 엠앤엠즈 피넛 37g,"1,500",,,
6914973607149 ,스니커즈 미니스 500g + 160g,"11,900",,,
6914973610675 ,[마즈] 엠앤엠즈 튜브토퍼 28g,"2,500",,,
7262707001923 ,헬스엔 프로폴리스 스프레이 30ml,"15,000",,,
7350012554866 ,바이오가이아 프로덱티스 베이비드롭 5ml,"25,000",,,
7350012554873 ,바이오가이아 프로텍티스 이지드롭 10ml,"48,000",,,
7350012555474 ,바이오가이아 프로텍티스(오렌지향) 60T,"39,500",,,
7350012555917 ,바이오가이아 프로텍티스(하츄핑/레몬향) 60T,"39,000",,,
7350012555993 ,바이오가이아 프로텍티스(하츄핑/오렌지향) 60T,"39,500",,,
7350012556006 ,바이오가이아 프로텍티스(하츄핑/딸기향) 60T,"39,000",,,
7350012556716 ,가스트러스 타블렛(감귤향) 30T,"40,000",,,
768455106912 ,듀오덤 엑스트라 씬 10매,"20,000",,,
8 806436 016712,탁센나프록센 (10c),"2,000",6436016712,6436,0167
8 806436 016736,탁센나프록센 30캡,"5,200",6436016736,6436,0167
8 806436 017214,페리덱스(6g),"3,000",6436017214,6436,0172
8 806436 033115,제놀한방(5매),"2,500",6436033115,6436,0331
8 806436 036413,쿨드림(10c),"2,000",6436036413,6436,0364
8 806436 044814,알러샷(10c),"2,500",6436044814,6436,0448
8 806436 050211,디어미(21t),"6,000",6436050211,6436,0502
8 806436 051911,탁센이부프로펜400(10c),"2,000",6436051911,6436,0519
8 806436 056022,백초(10포),"5,500",6436056022,6436,0560
8 806436 058613,탁센덱시(10c),"2,500",6436058613,6436,0586
8 806436 058811,디어미순(28t),"8,000",6436058811,6436,0588
8 806436 062719,탁센레이디(10c),"2,000",6436062719,6436,0627
8 806436 062726,탁센레이디 30캡,"5,500",6436062726,6436,0627
8 806436 067219,그린노즈플러스(10c),"2,500",6436067219,6436,0672
8 806503 037619,써버쿨플라스타30매,"4,500",6503037619,6503,0376
8 807007 353670,모스케어(80ml),"8,000",7007353670,7007,3536
809626921582 ,링티 플러스활력 117g,"16,000",,,
809708798668 ,(신)내가그린빠른허브헤어칼라1호(튜브),"9,000",,,
809708798675 ,(신)내가그린빠른허브헤어칼라2호(튜브),"9,000",,,
812441 039743,인사포르테,"50,000",,,
812441038524 ,슈퍼프로바이오틱스5000프로 120C,"50,000",,,
812441039743 ,인사 포르테 파워정 120T(60T x 2EA),"50,000",,,
8260090 010989,스페셜 알티지 오메가,"80,000",,,
840531400104 ,관절연골맥스 콘드로이친 1500,"80,000",,,
850013 484607,디플러스오메가 180c,"40,000",,,
850013484591 ,프리미엄 디플러스 오메가3 1310 180C,"35,000",,,
850013484607 ,프리미엄디플러스오메가3 1310 180캡슐x2,"70,000",,,
8713184098283 ,옵티뮨 2mg 3.5g,"36,000",,,
873101 ,부스코판 플러스,"3,300",,,
8800021300286 ,이케어 클린스왑 100P,"2,800",0021300286,0021,3002
8800040100171 ,코코퓨어 코세정분말 60P,"5,000",0040100171,0040,1001
8800048007533 ,하이맘폼 액티브케어 중형(4 x 8cm) 5매,"9,500",0048007533,0048,0075
8800048007557 ,하이맘폼 액티브케어 소형(3.4 x 6cm) 6매,"9,500",0048007557,0048,0075
8800048012858 ,하이맘 폼 에이프리,"9,000",0048012858,0048,0128
8800048013060 ,하이맘폼 액티브케어 대형(7.5 x 7.5cm) 4매,"9,500",0048013060,0048,0130
8800048017211 ,하이맘밴드 뷰티스팟 48매,"9,000",0048017211,0048,0172
8800154800080 ,크린클 코세정기,"7,000",0154800080,0154,8000
8800254770016 ,프로바이오틱스 프라임 120C,"70,000",0254770016,0254,7700
8800254770092 ,[부광]쏘팔메토옥타코사놀메가프라임 120T,"80,000",0254770092,0254,7700
8800254770139 ,에스키모 알티지오메가3 프라임 120C,"80,000",0254770139,0254,7701
8800280731449 ,촉촉어린 콜라겐 비오틴 3.5g x 30P,"45,000",0280731449,0280,7314
8800295960001 ,리쥬비온 PDRN 1000 Plus 20g,"30,000",0295960001,0295,9600
8800326271090 ,프리미엄 골드 알부민 맥스 25ml*5병,"9,000",0326271090,0326,2710
8800326870002 ,덱스판톨 립크림 10g,"5,500",0326870002,0326,8700
8800330330080 ,닥터리쥬올 Retino 멜라세럼 50ml,"48,000",0330330080,0330,3300
8800330330103 ,닥터리쥬올 세라마이드 베리어 크림 90ml,"39,000",0330330103,0330,3301
8800330330233 ,닥터리쥬올 PDRN 리쥬비네이팅 크림 30ml,"45,000",0330330233,0330,3302
8800330330417 ,닥터 리쥬올 어스밴스드 PDRN 리뷰비네이팅 립 세럼 10ml,"13,000",0330330417,0330,3304
8800516001629 ,볼타겐 에멀겔 50g,"6,000",0516001629,0516,0016
8800516001711 ,오트리빈 소아용 0.05% 10ml,"10,000",0516001711,0516,0017
8800516001940 ,니코틴엘 껌 2mg 24개입,"8,500",0516001940,0516,0019
8800516002022 ,니코틴엘 TTS20 7매,"9,500",0516002022,0516,0020
8800516002121 ,니코틴엘 TTS30 7매,"11,000",0516002121,0516,0021
8800516002220 ,니코틴엘 TTS10 7매,"9,000",0516002220,0516,0022
8800516002428 ,테라플루 데이타임 6포,"7,000",0516002428,0516,0024
8800516002435 ,테라플루 데이타임 10포,"9,500",0516002435,0516,0024
8800516002527 ,테라플루 나이트타임 6포,"7,000",0516002527,0516,0025
8800516002534 ,테라플루 나이트타임 10포,"9,500",0516002534,0516,0025
8800516002619 ,오트리빈 멘톨 0.1%,"7,500",0516002619,0516,0026
8800516002718 ,오트리빈 베이비 내추럴 15ml,"8,000",0516002718,0516,0027
8800516002824 ,테라플루 콜드앤코프 데이타임 10포,"9,500",0516002824,0516,0028
8800516002923 ,테라플루 콜드앤코프 나이트타임 10포,"9,500",0516002923,0516,0029
8800516003012 ,오트리빈 에스 0.05% 10ml,"9,000",0516003012,0516,0030
8800516003715 ,애드빌 10T,"3,000",0516003715,0516,0037
8800516003722 ,애드빌 30T,"7,000",0516003722,0516,0037
8800520000229 ,아이미루 40EX 13ml,"4,500",0520000229,0520,0002
8800520000328 ,아이미루 콘택트퓨어 12ml,"4,500",0520000328,0520,0003
8800520000410 ,아이미루 40EX 골드 13ml,"5,000",0520000410,0520,0004
8800520000519 ,아이미루 40EX 마일드 13ml,"4,500",0520000519,0520,0005
8800520000618 ,아이미루 40EX 골드콘택트 13ml,"5,000",0520000618,0520,0006
8800543000916 ,제일 롱파프(24매),"10,000",0543000916,0543,0009
8800543001333 ,제일 쿨파프 5매,"2,000",0543001333,0543,0013
8800543001739 ,케펜텍 34매,"9,000",0543001739,0543,0017
8800543002927 ,제일 핫파프 5매,"2,000",0543002927,0543,0029
8800543004013 ,한방파프 수에스 6매,"3,000",0543004013,0543,0040
8800543005027 ,디쿨24(24매),"10,000",0543005027,0543,0050
8800543007595 ,케펜텍 핫 34매,"9,900",0543007595,0543,0075
8800543007816 ,트리싹 10T,"2,500",0543007816,0543,0078
8800543008059 ,케펜텍 쿨 34매,"9,000",0543008059,0543,0080
8800551016114 ,[일양] 맥쎈 10C,"1,500",0551016114,0551,0161
8800572000512 ,액티넘 이엑스플러스 120T,"28,000",0572000512,0572,0005
8800572001410 ,라미실 크림,"4,500",0572001410,0572,0014
8800572001717 ,라미실원스 4g,"16,000",0572001717,0572,0017
8800576000648 ,파인큐 이부펜시럽 20ml x 5P,"2,500",0576000648,0576,0006
8800576008927 ,파인큐 아세트펜시럽 20ml x 5P,"2,500",0576008927,0576,0089
8800576010128 ,파인큐 나프록센 현탁액 10m l x5P,"2,500",0576010128,0576,0101
8800724 000520,장엔폴,"2,000",0724000520,0724,0005
8800724 004115,알진텍,"2,000",0724004115,0724,0041
8800724000520 ,[보령] 장엔폴 10C,"2,000",0724000520,0724,0005
8800724004115 ,(경보)알진텍 10T,"2,000",0724004115,0724,0041
8800732001714 ,콘트라민정[GC녹십자],"60,000",0732001714,0732,0017
8800732005319 ,아렉스알파 10T,"2,000",0732005319,0732,0053
8800732006019 ,[일양]엔디펜알파 10T,"2,000",0732006019,0732,0060
8800742000601 ,둘코락스에스장용정 5mg 40정,"10,500",0742000601,0742,0006
8801206002247 ,비타C젤리 오렌지향 42g,"1,000",1206002247,1206,0022
8801206002254 ,비타C젤리 42G(오렌지향) x 10개입,"10,000",1206002254,1206,0022
8801206003329 ,비타C젤리 샤인머스켓향 42g,"1,000",1206003329,1206,0033
8801206003336 ,비타C젤리 42G(샤인머스킷향) x 10개,"10,000",1206003336,1206,0033
8801244508220 ,가드닐 S 0.67ml x 3EA,"22,500",1244508220,1244,5082
8801244508237 ,가드닐 M 1.34ml x 3EA,"29,700",1244508237,1244,5082
8801244508268 ,가드닐 L 2.68ml x 3EA,"37,800",1244508268,1244,5082
8801244508305 ,셀라이트60 SS 0.25ml x 3EA,"24,300",1244508305,1244,5083
8801244508312 ,셀라이트120 S 0.25ml x 3EA,"27,000",1244508312,1244,5083
8801244508329 ,셀라이트120 M 0.5ml x 3EA,"32,400",1244508329,1244,5083
8801244508336 ,심피드 독 S 0.4ml x 3T,"29,700",1244508336,1244,5083
8801244508343 ,셀라이트120 L 1.0ml x 3EA,"37,800",1244508343,1244,5083
8801244508367 ,셀라이트120 XL 2.0ml x 3EA,"58,500",1244508367,1244,5083
8801244508435 ,심피드 독 M 1ml x 3T,"32,400",1244508435,1244,5084
8801244508534 ,심피드 독 L 2.5ml x 3T,"43,600",1244508534,1244,5085
8801244508633 ,심피드 독 XL 4ml x 3T,"63,000",1244508633,1244,5086
8801244508732 ,심피드 캣 S 0.4ml x 3T,"29,700",1244508732,1244,5087
8801244508831 ,심피드 캣 M 0.8ml x 3T,"32,400",1244508831,1244,5088
8801328313962 ,에프킬라 킨 수성 500ml,"3,300",1328313962,1328,3139
8801619047545 ,바세린 립 테라피 로지 립스 케어,"3,200",1619047545,1619,0475
8801619047552 ,바세린 립 테라피 오리지날 케어,"3,200",1619047552,1619,0475
8801619047576 ,바세린 립 테라피 알로에 베라 케어,"3,200",1619047576,1619,0475
8801619052310 ,바세린 립 테라피 민트 케어,"3,200",1619052310,1619,0523
8802863131189 ,루테인 지아잔틴 아스타잔틴 플러스 90C,"60,000",2863131189,2863,1311
8803463007362 ,VT 프로 시카 리들샷 100 2스텝 에센셀 하이드로겔 마스크팩,"4,000",3463007362,3463,0073
8803463007379 ,VT 하이드롭 리들샷 100hl 2스텝 아쿠아 하이드로겔 마스크팩,"4,000",3463007379,3463,0073
8803463007386 ,VT 레티-에이 리들샷 100 2스텝 타이트닝 하이드로겔 마스크팩,"4,000",3463007386,3463,0073
8803463007409 ,VT 비타-라이트 리들샷 100 2스텝 브라이트닝 하이드로겔 마스크팩,"4,000",3463007409,3463,0074
8803463007416 ,VT 콜라겐 리들샷 100 2스텝 퍼밍 하이드로겔 마스크팩,"4,000",3463007416,3463,0074
8803463008116 ,VT 피디알엔 크림 알엑스 100 60ml,"46,000",3463008116,3463,0081
8803463008123 ,VT 피디알엔 에센스 알엑스 100 40ml,"38,000",3463008123,3463,0081
8804947098746 ,브레인 1088 1200mg 120C(60C*2),"70,000",4947098746,4947,0987
8804947098777 ,면역 프로 알파칸 120T(60T x 2EA),"80,000",4947098777,4947,0987
8804973303913 ,[마즈] 엠앤엠즈 크리스피 30g,"1,500",4973303913,4973,3039
8804973304224 ,트윅스 미니스 500g + 160g,"11,900",4973304224,4973,3042
